,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3
0,further,d6a8931c94d5_1,trial_8_knob,trial_17_redsport,trial_26_crow,trial_7_basset
1,further,d6a8931c94d5_2,trial_17_redsport,trial_26_crow,trial_7_basset,trial_8_knob
2,closer,d6a8931c94d5_4,trial_28_chihuahua,trial_18_pug,trial_23_weimaraner,trial_30_doberman
3,further,d6a8931c94d5_7,trial_3_redantique,trial_14_robin,trial_27_sling,trial_2_bullmastiff
4,further,d6a8931c94d5_8,trial_7_basset,trial_17_redsport,trial_26_crow,trial_8_knob
5,further,d6a8931c94d5_12,trial_9_brown,trial_13_tomtit,trial_16_bloodhound,trial_21_woven
6,closer,d6a8931c94d5_13,trial_31_bluesedan,trial_10_beetle,trial_1_bluesport,trial_6_hatchback
7,closer,d6a8931c94d5_14,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan,trial_6_hatchback
8,further,d6a8931c94d5_15,trial_14_robin,trial_27_sling,trial_2_bullmastiff,trial_3_redantique
9,further,d6a8931c94d5_16,trial_16_bloodhound,trial_13_tomtit,trial_21_woven,trial_9_brown
10,closer,d6a8931c94d5_18,trial_6_hatchback,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan
11,further,d6a8931c94d5_21,trial_13_tomtit,trial_16_bloodhound,trial_21_woven,trial_9_brown
12,further,d6a8931c94d5_22,trial_2_bullmastiff,trial_14_robin,trial_27_sling,trial_3_redantique
13,further,d6a8931c94d5_26,trial_21_woven,trial_13_tomtit,trial_16_bloodhound,trial_9_brown
14,further,d6a8931c94d5_28,trial_26_crow,trial_17_redsport,trial_7_basset,trial_8_knob
15,further,d6a8931c94d5_29,trial_27_sling,trial_14_robin,trial_2_bullmastiff,trial_3_redantique
16,closer,d6a8931c94d5_30,trial_30_doberman,trial_18_pug,trial_23_weimaraner,trial_28_chihuahua
17,closer,a061099290fc_1,trial_4_straight,trial_11_waiting,trial_32_squat,trial_5_inlay
18,further,a061099290fc_16,trial_22_leather,trial_10_beetle,trial_25_goldenretriever,trial_29_sparrow
19,further,a061099290fc_17,trial_10_beetle,trial_22_leather,trial_25_goldenretriever,trial_29_sparrow
20,further,a061099290fc_19,trial_29_sparrow,trial_10_beetle,trial_22_leather,trial_25_goldenretriever
21,closer,a061099290fc_24,trial_11_waiting,trial_32_squat,trial_4_straight,trial_5_inlay
22,closer,a061099290fc_26,trial_32_squat,trial_11_waiting,trial_4_straight,trial_5_inlay
23,closer,a061099290fc_27,trial_5_inlay,trial_11_waiting,trial_32_squat,trial_4_straight
24,further,a061099290fc_29,trial_25_goldenretriever,trial_10_beetle,trial_22_leather,trial_29_sparrow
25,closer,66caff2a72e4_3,trial_32_squat,trial_21_woven,trial_22_leather,trial_5_inlay
26,closer,66caff2a72e4_4,trial_5_inlay,trial_21_woven,trial_22_leather,trial_32_squat
27,closer,66caff2a72e4_21,trial_22_leather,trial_21_woven,trial_32_squat,trial_5_inlay
28,closer,66caff2a72e4_30,trial_21_woven,trial_22_leather,trial_32_squat,trial_5_inlay
29,closer,e49efb324a4b_1,trial_29_sparrow,trial_13_tomtit,trial_15_nightingale,trial_26_crow
30,closer,e49efb324a4b_10,trial_10_beetle,trial_1_bluesport,trial_24_white,trial_3_redantique
31,closer,e49efb324a4b_12,trial_3_redantique,trial_10_beetle,trial_1_bluesport,trial_24_white
32,further,e49efb324a4b_15,trial_7_basset,trial_11_waiting,trial_12_bluejay,trial_9_brown
33,further,e49efb324a4b_17,trial_12_bluejay,trial_11_waiting,trial_7_basset,trial_9_brown
34,further,e49efb324a4b_18,trial_11_waiting,trial_12_bluejay,trial_7_basset,trial_9_brown
35,closer,e49efb324a4b_21,trial_26_crow,trial_13_tomtit,trial_15_nightingale,trial_29_sparrow
36,closer,e49efb324a4b_22,trial_13_tomtit,trial_15_nightingale,trial_26_crow,trial_29_sparrow
37,further,e49efb324a4b_23,trial_9_brown,trial_11_waiting,trial_12_bluejay,trial_7_basset
38,further,b99247975eb2_2,trial_24_white,trial_22_leather,trial_26_crow,trial_7_basset
39,closer,b99247975eb2_3,trial_12_bluejay,trial_13_tomtit,trial_19_pigeon,trial_20_cuckoo
40,further,b99247975eb2_6,trial_15_nightingale,trial_10_beetle,trial_21_woven,trial_23_weimaraner
41,closer,b99247975eb2_7,trial_6_hatchback,trial_17_redsport,trial_1_bluesport,trial_31_bluesedan
42,closer,b99247975eb2_8,trial_13_tomtit,trial_12_bluejay,trial_19_pigeon,trial_20_cuckoo
43,further,b99247975eb2_11,trial_7_basset,trial_22_leather,trial_24_white,trial_26_crow
44,further,b99247975eb2_12,trial_9_brown,trial_14_robin,trial_28_chihuahua,trial_32_squat
45,further,b99247975eb2_14,trial_23_weimaraner,trial_10_beetle,trial_15_nightingale,trial_21_woven
46,further,b99247975eb2_16,trial_10_beetle,trial_15_nightingale,trial_21_woven,trial_23_weimaraner
47,further,b99247975eb2_18,trial_22_leather,trial_24_white,trial_26_crow,trial_7_basset
48,closer,b99247975eb2_19,trial_17_redsport,trial_1_bluesport,trial_31_bluesedan,trial_6_hatchback
49,further,b99247975eb2_20,trial_21_woven,trial_10_beetle,trial_15_nightingale,trial_23_weimaraner
50,further,b99247975eb2_21,trial_26_crow,trial_22_leather,trial_24_white,trial_7_basset
51,further,b99247975eb2_22,trial_28_chihuahua,trial_14_robin,trial_32_squat,trial_9_brown
52,closer,b99247975eb2_23,trial_19_pigeon,trial_12_bluejay,trial_13_tomtit,trial_20_cuckoo
53,further,b99247975eb2_25,trial_32_squat,trial_14_robin,trial_28_chihuahua,trial_9_brown
54,closer,b99247975eb2_27,trial_20_cuckoo,trial_12_bluejay,trial_13_tomtit,trial_19_pigeon
55,further,b99247975eb2_28,trial_14_robin,trial_28_chihuahua,trial_32_squat,trial_9_brown
56,closer,b99247975eb2_30,trial_31_bluesedan,trial_17_redsport,trial_1_bluesport,trial_6_hatchback
57,closer,b99247975eb2_32,trial_1_bluesport,trial_17_redsport,trial_31_bluesedan,trial_6_hatchback
58,further,e0c743c2db0d_4,trial_31_bluesedan,trial_29_sparrow,trial_30_doberman,trial_4_straight
59,further,e0c743c2db0d_5,trial_3_redantique,trial_23_weimaraner,trial_26_crow,trial_32_squat
60,closer,e0c743c2db0d_8,trial_24_white,trial_10_beetle,trial_1_bluesport,trial_6_hatchback
61,further,e0c743c2db0d_9,trial_2_bullmastiff,trial_12_bluejay,trial_17_redsport,trial_27_sling
62,further,e0c743c2db0d_13,trial_26_crow,trial_23_weimaraner,trial_32_squat,trial_3_redantique
